6434,8500
1894,51726
6498,7157
1981,5217
1857,6498
4291,7037
1029,1739
1857,10051
1981,7037
197,29102
1739,6498
1739,1857
6498,10051
1173,10188
51319,84859
1857,5584
197,1173
1029,7157
197,10188
1173,51726
1981,6434
5584,7157
1739,5584
1857,152137
1981,10051
7037,26064
197,51726
1029,10051
1029,5584
6434,26064
1601,10188
26064,84859
29102,51726
1739,7157
5584,6498
6498,152137
1029,152137
6434,84859
8500,26064
197,1601
1173,29102
8500,51319
10051,152137
10188,29102
1739,10051
4291,26064
1981,5584
1981,26064
1857,7157
5584,7037
5584,152137
6434,51319
7037,9631
8500,84859
1894,29102
1029,1857
7157,10051
10188,51726
1029,6498
4291,6434
1739,152137
1173,1601
1601,1894
26064,51319
1894,10188
197,1894
5584,10051
6434,7037
1981,9631
